seed,run_id,interval,metric_name,value
42,1,10,fp_bayesian,15.0
42,1,10,fp_static,0.0
42,1,10,fn_proposed,5.0
42,1,10,fn_bayesian,1.0
42,1,10,fn_static,7.0
42,1,10,pdr_proposed,85.42
42,1,10,pdr_bayesian,79.17
42,1,10,pdr_static,95.92
42,1,10,energy_proposed,72.83
42,1,10,energy_bayesian,72.98
42,1,10,energy_static,74.26
42,1,10,trust_mean_proposed,0.8508
42,1,10,trust_std_proposed,0.0418
42,1,10,trust_min_proposed,0.6733
42,1,10,trust_max_proposed,0.8804
42,1,10,blockchain_commit_latency_ms,1496.5513
42,1,10,blockchain_failed_commits,0.0
42,1,10,blockchain_commit_success_rate,1.0
42,1,10,packet_count_proposed,1.250716
42,1,10,packet_count_bayesian,1.249125
42,1,10,packet_count_static,1.247069
42,1,10,compute_cost_proposed,1.12
42,1,10,compute_cost_bayesian,1.1
42,1,10,compute_cost_static,0.95
42,1,10,communication_distance_proposed,486.593706
42,1,10,communication_distance_bayesian,515.503007
42,1,10,communication_distance_static,519.31442
42,1,10,routing_load_proposed,0.54
42,1,10,routing_load_bayesian,0.485
42,1,10,routing_load_static,0.55
42,1,10,routing_distance_proposed,641.092864
42,1,10,routing_distance_bayesian,551.99791
42,1,10,routing_distance_static,0.0
42,1,10,routing_noise_proposed,0.016139
42,1,10,routing_noise_bayesian,-0.00846
42,1,10,routing_noise_static,0.0
42,1,11,accuracy_proposed,88.0
42,1,11,accuracy_bayesian,78.0
42,1,11,accuracy_static,86.0
42,1,11,precision_proposed,100.0
42,1,11,precision_bayesian,37.5
42,1,11,precision_static,0.0
42,1,11,recall_proposed,14.29
42,1,11,recall_bayesian,85.71
42,1,11,recall_static,0.0
42,1,11,f1_proposed,25.0
42,1,11,f1_bayesian,52.17
42,1,11,f1_static,0.0
42,1,11,tp_proposed,1.0
42,1,11,tp_bayesian,6.0
42,1,11,tp_static,0.0
42,1,11,tn_proposed,43.0
42,1,11,tn_bayesian,33.0
42,1,11,tn_static,43.0
42,1,11,fp_proposed,0.0
42,1,11,fp_bayesian,10.0
42,1,11,fp_static,0.0
42,1,11,fn_proposed,6.0
42,1,11,fn_bayesian,1.0
42,1,11,fn_static,7.0
42,1,11,pdr_proposed,96.0
42,1,11,pdr_bayesian,84.0
42,1,11,pdr_static,93.88
42,1,11,energy_proposed,70.09
42,1,11,energy_bayesian,70.28
42,1,11,energy_static,71.72
42,1,11,trust_mean_proposed,0.847
42,1,11,trust_std_proposed,0.0434
42,1,11,trust_min_proposed,0.6607
42,1,11,trust_max_proposed,0.8755
42,1,11,blockchain_commit_latency_ms,1495.4069
42,1,11,blockchain_failed_commits,0.0
42,1,11,blockchain_commit_success_rate,1.0
42,1,11,packet_count_proposed,1.274736
42,1,11,packet_count_bayesian,1.249411
42,1,11,packet_count_static,1.2302
42,1,11,compute_cost_proposed,1.12
42,1,11,compute_cost_bayesian,1.1
42,1,11,compute_cost_static,0.95
42,1,11,communication_distance_proposed,552.090618
42,1,11,communication_distance_bayesian,538.58064
42,1,11,communication_distance_static,514.861903
42,1,11,routing_load_proposed,0.545
42,1,11,routing_load_bayesian,0.47
42,1,11,routing_load_static,0.55
42,1,11,routing_distance_proposed,909.175617
42,1,11,routing_distance_bayesian,527.733929
42,1,11,routing_distance_static,0.0
